Order ID,_date,Status,rto,is_cancelled,Category,_sku_prefix,ship-state,ship-city,_pincode_prefix,Amount,_amount_log,_amount_bucket,_has_promotion,_is_b2b,Fulfilment,Qty
403-1477057-8253913,2022-04-30,Shipped,0,0,Western Dress,J,KERALA,CHAVAKKAD,680,825.0,6.716594773520978,q4,1,0,Amazon,1
408-2114413-6089906,2022-04-30,Shipped,0,0,Set,SET,BIHAR,PATNA,800,680.0,6.523562306149512,q3,1,0,Amazon,1
405-1879750-2639521,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,TAMIL NADU,CHENNAI,600,725.0,6.587550014824796,q4,1,0,Merchant,1
406-5727754-5302723,2022-04-30,Shipped,0,0,Set,SET,Gujarat,VADODARA,390,696.0,6.546785410760524,q4,1,0,Amazon,1
405-0901744-8270705,2022-04-30,Shipped,0,0,kurta,MEN,Gujarat,VADODARA,390,499.0,6.214608098422191,q2,1,0,Amazon,1
405-9112089-3379536,2022-04-30,Cancelled,0,1,kurta,JNE,MAHARASHTRA,PUNE,411,,0.0,,0,0,Amazon,0
408-6357132-2310703,2022-04-30,Shipped,0,0,Set,J,JAMMU & KASHMIR,Jammu,180,696.0,6.546785410760524,q4,1,0,Amazon,1
406-5334922-9670748,2022-04-30,Shipped,0,0,kurta,JNE,KARNATAKA,bangalore,560,406.0,6.008813185442595,q1,0,0,Amazon,1
402-8519791-3706738,2022-04-30,Shipped,0,0,Set,SET,DELHI,NEW DELHI,110,852.0,6.748759547491679,q5,1,0,Amazon,1
408-1830318-0357940,2022-04-30,Shipped,0,0,kurta,JNE,HARYANA,NARNAUND,125,399.0,5.991464547107982,q1,0,0,Amazon,1
406-5103760-7326749,2022-04-30,Shipped,0,0,kurta,JNE,Gujarat,Ahmedabad,380,432.0,6.07073772800249,q2,0,0,Amazon,1
402-7841951-1872363,2022-04-30,Cancelled,0,1,Set,SET,DELHI,NEW DELHI,110,,0.0,,0,0,Amazon,0
408-7698765-2294756,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,MAHARASHTRA,AMBARNATH,421,1338.0,7.199678345691172,q5,1,0,Merchant,1
404-1856281-9996319,2022-04-30,Shipped - Delivered to Buyer,0,0,Western Dress,J,MADHYA PRADESH,GWALIOR,474,472.0,6.159095388491933,q2,1,0,Merchant,1
406-5406738-7113145,2022-04-30,Shipped,0,0,Set,SET,DELHI,NEW DELHI,110,788.0,6.670766320845874,q4,1,0,Amazon,1
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,HARYANA,ROHTAK,124,832.0,6.725033642166843,q4,1,0,Merchant,1
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,HARYANA,ROHTAK,124,399.0,5.991464547107982,q1,1,0,Merchant,1
405-2072502-4089911,2022-04-30,Shipped,0,0,Set,SET,HARYANA,ROHTAK,124,599.0,6.396929655216146,q3,1,0,Amazon,1
405-0882561-5952340,2022-04-30,Shipped,0,0,Set,SET,WEST BENGAL,Kolkata,700,692.0,6.541029999189903,q4,0,0,Amazon,1
403-7266170-1163500,2022-04-30,Shipped - Delivered to Buyer,0,0,Top,JNE,MAHARASHTRA,MUMBAI,400,518.0,6.251903883165888,q2,1,0,Merchant,1
405-8114272-1687512,2022-04-30,Shipped,0,0,Set,SET,DELHI,NEW DELHI,110,788.0,6.670766320845874,q4,0,0,Amazon,1
171-6138639-1478731,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,318.0,5.765191102784844,q1,1,0,Amazon,1
405-4059216-4541150,2022-04-30,Shipped,0,0,Set,SET,TELANGANA,HYDERABAD,500,597.0,6.393590753950631,q3,1,0,Amazon,1
405-1152015-7333945,2022-04-30,Shipped,0,0,Set,SET,BIHAR,PATNA,800,888.0,6.790097235513905,q5,1,0,Amazon,1
406-0177436-6731556,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,RAMAGUNDAM,505,406.0,6.008813185442595,q1,0,0,Amazon,1
406-0715107-8168308,2022-04-30,Shipped,0,0,Set,SET,UTTARAKHAND,PITHORAGARH,262,1186.0,7.079184394609668,q5,1,0,Amazon,1
403-0104882-7373900,2022-04-30,Cancelled,0,1,Western Dress,JNE,Gujarat,HIMMATNAGAR,383,791.0,6.674561391814426,q4,0,0,Amazon,1
403-0104882-7373900,2022-04-30,Cancelled,0,1,Western Dress,J,Gujarat,HIMMATNAGAR,383,807.0,6.694562058521095,q4,0,0,Amazon,1
403-0104882-7373900,2022-04-30,Cancelled,0,1,Western Dress,J,Gujarat,HIMMATNAGAR,383,807.0,6.694562058521095,q4,0,0,Amazon,1
405-3002282-6797102,2022-04-30,Shipped,0,0,kurta,JNE,WEST BENGAL,KOLKATA,700,311.0,5.7430031878094825,q1,0,0,Amazon,1
407-8466904-3461908,2022-04-30,Shipped,0,0,Top,JNE,MAHARASHTRA,MUMBAI,400,387.0,5.961005339623274,q1,1,0,Amazon,1
171-3305587-5364338,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,348.0,5.855071922202427,q1,0,0,Amazon,1
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,ASSAM,"GUWAHATI, KAMRUP (M)",781,597.0,6.393590753950631,q3,1,0,Merchant,1
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,ASSAM,"GUWAHATI, KAMRUP (M)",781,549.0,6.309918278226516,q3,1,0,Merchant,1
171-2813040-8296320,2022-04-30,Shipped,0,0,Set,SET,KARNATAKA,KOLAR,563,635.0,6.455198563340122,q3,1,0,Amazon,1
408-9845791-1393151,2022-04-30,Shipped,0,0,Set,SET,PUNJAB,PATIALA,147,597.0,6.393590753950631,q3,1,0,Amazon,1
402-4277204-2348328,2022-04-30,Shipped,0,0,Set,SET,MADHYA PRADESH,REWA,486,790.0,6.673297967767654,q4,1,0,Amazon,1
171-3049339-2085136,2022-04-30,Shipped,0,0,kurta,JNE,ASSAM,BONGAIGAON,783,375.0,5.929589143389895,q1,0,0,Amazon,1
405-9928526-2470747,2022-04-30,Shipped,0,0,Set,SET,TELANGANA,HYDERABAD,500,1115.0,7.017506142941256,q5,0,0,Amazon,1
405-4908072-0260360,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,MEN,KARNATAKA,BENGALURU,560,579.0,6.363028103540465,q3,1,0,Merchant,1
406-3984186-5973150,2022-04-30,Shipped,0,0,Set,SET,TAMIL NADU,Chengalpattu,603,788.0,6.670766320845874,q4,1,0,Amazon,1
171-8635309-7508346,2022-04-30,Shipped,0,0,Set,SET,TAMIL NADU,PERAMBALUR,621,597.0,6.393590753950631,q3,1,0,Amazon,1
171-0293372-4913973,2022-04-30,Cancelled,0,1,Set,SET,KARNATAKA,KOLAR,563,,0.0,,0,0,Amazon,0
402-8288606-4313118,2022-04-30,Shipped,0,0,kurta,JNE,HIMACHAL PRADESH,BILASPUR,174,517.0,6.249975242259483,q2,1,0,Amazon,1
402-8746990-6412346,2022-04-30,Shipped,0,0,kurta,JNE,TAMIL NADU,CHENNAI,600,442.0,6.093569770045136,q2,0,0,Amazon,1
402-0294212-5431551,2022-04-30,Shipped,0,0,kurta,JNE,UTTAR PRADESH,VARANASI,221,399.0,5.991464547107982,q1,0,0,Amazon,1
406-1530134-2105912,2022-04-30,Shipped,0,0,kurta,JNE,KARNATAKA,BENGALURU,560,518.0,6.251903883165888,q2,0,0,Amazon,1
403-5222550-4437140,2022-04-30,Shipped,0,0,kurta,JNE,TAMIL NADU,COIMBATORE,641,348.0,5.855071922202427,q1,1,0,Amazon,1
408-1482435-5202714,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,CHHATTISGARH,CHIRMIRI,497,788.0,6.670766320845874,q4,1,0,Merchant,1
403-6442534-2769112,2022-04-30,Cancelled,0,1,Top,J,UTTAR PRADESH,AZAMGARH,276,,0.0,,0,0,Amazon,0
408-3113070-0750756,2022-04-30,Shipped,0,0,Set,SET,MAHARASHTRA,KALYAN,421,597.0,6.393590753950631,q3,0,0,Amazon,1
404-7796841-1880317,2022-04-30,Shipped,0,0,kurta,JNE,DELHI,NEW DELHI,110,696.0,6.546785410760524,q4,0,0,Amazon,1
405-2142542-0941949,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,502,363.0,5.8971538676367405,q1,1,0,Amazon,1
405-0286717-7761132,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,502,299.0,5.703782474656201,q1,0,0,Amazon,1
406-9021273-9221106,2022-04-30,Shipped,0,0,Western Dress,JNE,ASSAM,GUWAHATI,781,690.0,6.53813982376767,q3,1,0,Amazon,1
404-5381335-4577925,2022-04-30,Shipped,0,0,Top,J,KARNATAKA,MYSORE,570,574.0,6.354370040797351,q3,1,0,Amazon,1
171-0131752-2560336,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,UTTAR PRADESH,BARABANKI,225,1399.0,7.24422751560335,q5,1,0,Merchant,1
407-4235449-1353916,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,J,UTTAR PRADESH,AMILA,275,999.0,6.907755278982137,q5,1,0,Merchant,1
171-8061614-5688327,2022-04-30,Shipped,0,0,Set,J,ANDHRA PRADESH,VIJAYAWADA,520,999.0,6.907755278982137,q5,1,0,Amazon,1
407-8248783-4261958,2022-04-30,Shipped,0,0,kurta,JNE,CHHATTISGARH,RAWAN AMBUJA CEMENT PLANT,493,487.0,6.1903154058531475,q2,1,0,Amazon,1
404-6513062-3876305,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,TAMIL NADU,TIRUCHIRAPPALLI,620,376.0,5.932245187448011,q1,1,0,Merchant,1
406-7779874-9136347,2022-04-30,Shipped,0,0,Set,SET,UTTARAKHAND,HERBERTPUR,248,1115.0,7.017506142941256,q5,1,0,Amazon,1
406-9638549-1733961,2022-04-30,Shipped,0,0,Set,NW,KARNATAKA,BENGALURU,560,517.0,6.249975242259483,q2,0,0,Amazon,1
407-8801185-0134713,2022-04-30,Shipped,0,0,Set,SET,KARNATAKA,bangalore,560,1126.0,7.027314514039777,q5,1,0,Amazon,1
171-3625443-6505905,2022-04-30,Shipped,0,0,Western Dress,JNE,KERALA,KALAMASSERY,682,725.0,6.587550014824796,q4,1,0,Amazon,1
402-8078642-8565124,2022-04-30,Cancelled,0,1,kurta,JNE,ODISHA,Puri-2,752,,0.0,,0,0,Amazon,0
402-2820441-9623566,2022-04-30,Shipped,0,0,Western Dress,JNE,ODISHA,TIKABALI,762,721.0,6.582025138892826,q4,1,0,Amazon,1
171-4312987-5366767,2022-04-30,Shipped,0,0,Set,SET,BIHAR,BIHARSHARIF,803,666.0,6.502790045915623,q3,1,0,Amazon,1
403-5189998-9343503,2022-04-30,Shipped,0,0,Set,NW,TELANGANA,HYDERABAD,500,496.0,6.208590026096629,q2,0,0,Amazon,1
407-9863928-5979501,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,KERALA,PARAVUR,683,353.0,5.869296913133774,q1,1,0,Merchant,1
171-4644162-9093116,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,UTTAR PRADESH,BASTI,272,399.0,5.991464547107982,q1,1,0,Merchant,1
406-0974406-3179521,2022-04-30,Shipped,0,0,kurta,PJNE,TAMIL NADU,WALAJAPET,632,458.0,6.129050210060545,q2,0,0,Amazon,1
402-0048138-1845122,2022-04-30,Shipped,0,0,Set,SET,NAGALAND,Dimapur,797,1115.0,7.017506142941256,q5,1,0,Amazon,1
407-6283946-7749133,2022-04-30,Shipped,0,0,Ethnic Dress,J,KARNATAKA,Bengaluru,560,845.0,6.740519359606223,q5,1,0,Amazon,1
407-0542879-1795554,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,HARYANA,Mahendragarh,123,399.0,5.991464547107982,q1,1,0,Merchant,1
406-0218328-1773963,2022-04-30,Cancelled,0,1,kurta,PJNE,TAMIL NADU,WALAJAPET,632,,0.0,,1,0,Amazon,0
407-3742007-3242711,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,517.0,6.249975242259483,q2,0,0,Amazon,1
407-3742007-3242711,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,517.0,6.249975242259483,q2,0,0,Amazon,1
405-3067317-3360344,2022-04-30,Shipped,0,0,kurta,J,UTTAR PRADESH,GREATER NOIDA,201,599.0,6.396929655216146,q3,0,0,Amazon,1
406-5648244-8317954,2022-04-30,Shipped,0,0,Top,J,DELHI,New Delhi,110,487.0,6.1903154058531475,q2,0,0,Amazon,1
171-3460653-0171519,2022-04-30,Shipped,0,0,Top,J,HARYANA,GURUGRAM,122,487.0,6.1903154058531475,q2,1,0,Amazon,1
404-5337874-2284337,2022-04-30,Shipped,0,0,Set,SET,KARNATAKA,BENGALURU,560,568.0,6.343880434126331,q3,1,0,Amazon,1
